country,avg_price_of_1gb_usd,population_2020
India,0.09,1382345085
Israel,0.11,8678517
Kyrgyzstan,0.21,6542426
Italy,0.43,60446035
Ukraine,0.46,43686577
Kazakhstan,0.46,18815231
Somalia,0.5,15965848
Sri Lanka,0.51,21428970
Vietnam,0.57,97490013
China,0.61,1440297825
Sudan,0.63,44019263
Indonesia,0.64,274021604
Algeria,0.65,43984569
Australia,0.68,25550683
Pakistan,0.69,221612785
Poland,0.7,37839255
Bangladesh,0.7,164972348
Chile,0.71,19144605
Turkey,0.72,84495243
Tanzania,0.73,60012400
Dominican Republic,0.74,10866667
Mongolia,0.74,3287242
Iran,0.75,84176929
Kuwait,0.77,4281320
Myanmar,0.78,54473253
Denmark,0.8,5795780
France,0.81,65298930
Nepal,0.86,29225196
Belarus,0.89,9448772
Georgia,0.93,3987805
Ghana,0.94,31181428
Monaco,0.98,39290
Western Sahara,0.99,599769
Morocco,0.99,36985624
Brazil,1.01,212821986
Romania,1.03,19214608
Jordan,1.03,10220604
Kenya,1.05,53968739
Armenia,1.05,2964219
Austria,1.08,9015361
Egypt,1.09,102659126
Moldova,1.12,4032294
Malaysia,1.12,32436963
Thailand,1.23,69830779
Estonia,1.27,1326693
Uzbekistan,1.34,33551824
Ireland,1.36,4947267
Zambia,1.36,18468257
Tunisia,1.37,11839918
Nigeria,1.39,206984347
United Kingdom,1.39,67948282
Philippines,1.42,109830324
El Salvador,1.45,6491923
Argentina,1.45,45267449
Rwanda,1.48,13005303
Slovenia,1.48,2078989
Cambodia,1.5,16758448
Afghanistan,1.55,39074280
Uruguay,1.58,3475842
Serbia,1.6,8731081
Uganda,1.62,45974931
Nicaragua,1.71,6638075
Spain,1.81,46757980
Lithuania,1.85,2715340
Azerbaijan,1.86,10154978
Congo,1.94,5540555
Sweden,2.07,10110233
Guinea,2.08,13191279
Timor-Leste,2.08,1322667
Saudi Arabia,2.12,34905942
Burundi,2.12,11948454
Peru,2.13,33050211
Lesotho,2.13,2145194
Finland,2.14,5542237
Guatemala,2.17,17971382
Bulgaria,2.22,6939018
Bahrain,2.27,1711057
Paraguay,2.3,7147553
Ethiopia,2.44,115434444
Singapore,2.47,5858322
Burkina Faso,2.47,20997293
Croatia,2.48,4100719
Mauritius,2.48,1272140
Hong Kong,2.55,7507523
Haiti,2.74,11426356
Costa Rica,2.74,5102158
Cameroon,2.75,26655083
Albania,2.83,2877239
Netherlands,2.98,17141544
Bosnia and Herzegovina,3.04,3277152
Honduras,3.12,9931333
Côte d'Ivoire,3.2,26486282
Ecuador,3.24,17688599
Liberia,3.25,5077411
Niger,3.3,24346468
Senegal,3.3,16816539
Mozambique,3.33,31398811
Colombia,3.46,50976248
Sierra Leone,3.69,8004158
United Arab Emirates,3.78,9910892
Latvia,3.79,1882408
Lebanon,3.82,6819976
Slovakia,3.84,5460109
Jamaica,3.88,2963429
Japan,3.91,126407422
Germany,4.06,83830972
Qatar,4.12,2889284
Guinea-Bissau,4.12,1975718
Mali,4.12,20346106
Iraq,4.2,40372771
South Africa,4.3,59436725
Togo,4.5,8310934
Oman,4.58,5128058
Mauritania,4.63,4669775
Tajikistan,4.65,9573310
Libya,4.73,6887247
Mexico,4.77,129166028
Namibia,4.78,2548663
Belgium,4.88,11598451
Gabon,4.89,2234448
Portugal,4.97,10191409
Bolivia,5.09,11700207
Gambia,5.1,2427782
Norway,5.28,5428594
Angola,5.29,33032075
Hungary,5.32,9655983
Papua New Guinea,5.4,8975531
Taiwan,5.91,23824369
Trinidad and Tobago,5.92,1400283
New Zealand,6.06,4829021
Syria,6.55,17571053
Panama,6.69,4326296
United States,8.0,331341050
Central African Republic,8.25,4843954
Switzerland,8.38,8665615
Madagascar,8.81,27808395
Puerto Rico,9.17,2846860
South Korea,10.94,51276977
Turkmenistan,11.44,6046292
Greece,12.06,10413936
Canada,12.55,37799407
Equatorial Guinea,12.78,1410419
Eswatini,13.31,1162233
Cuba,13.33,11325391
Cyprus,13.56,1208886
Botswana,13.87,2359585
Yemen,15.98,29935468
Chad,23.33,16502877
Benin,27.22,12175480
Malawi,27.41,19211425
